trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",30,0,-210.8484853413352,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.25}",20,0,-72.64291612277717,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",20,0,-53.73348730999413,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.0625}",30,14,-50.87870769942836,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.9, 'e': 0.04}",30,0,-19.096716647050133,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",20,13,-43.11013799812929,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",25,0,-133.4165757110961,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 3}",0
8,False,"{'a': 0.9, 'e': 0.015625}",25,17,-28.095704648524958,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",25,0,-77.45752022109421,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.01}",20,2,25.56990592765901,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",30,3,17.830379424959986,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",20,0,16.635911409070587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",25,7,23.742437935117998,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",25,0,-66.29247411327952,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",25,16,17.180027602768643,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.00390625}",35,20,-15.101843029050979,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",25,15,-1.1082541529490348,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",30,8,30.646590921619644,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",25,0,19.719326089995477,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.0025}",20,0,26.182502074180924,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",20,0,30.939985137385627,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",25,7,27.80025721412062,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",25,0,31.420133195436307,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",20,3,32.534181399508384,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.0016}",35,17,18.148936776008245,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",30,7,37.18285018328542,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",20,0,27.002402614907034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",20,9,19.700871353344954,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",35,8,46.6752105244017,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",25,13,20.291315138862814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.001040582726326743}",25,0,41.15564501236323,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.9, 'e': 0.0009765625}",30,10,-16.678606673276786,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.0009182736455463728}",20,12,12.920645001107342,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.0008650519031141869}",20,13,0.21089917170919037,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.0008163265306122449}",25,0,-2.40299175292425,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.9, 'e': 0.0007716049382716049}",25,9,26.848252159603522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.0007304601899196494}",20,0,30.468133313191196,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.9, 'e': 0.0006925207756232687}",30,16,24.51212061287477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.0006574621959237344}",20,8,21.229820858327816,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.9, 'e': 0.000625}",30,15,18.321395311598597,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.000594883997620464}",25,0,30.51782908117709,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.0005668934240362812}",20,0,29.334048231941306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.9, 'e': 0.0005408328826392645}",20,14,8.562942768948858,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.0005165289256198347}",25,8,25.282848304463954,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.0004938271604938272}",25,0,34.63068151599144,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.9, 'e': 0.0004725897920604915}",20,8,23.14105314064237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.0004526935264825713}",30,17,8.785524311680247,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.00043402777777777775}",20,0,25.657818332082172,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.9, 'e': 0.00041649312786339027}",30,8,34.159226771780354,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.0004}",25,12,24.939059872042055,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.9, 'e': 0.00038446751249519417}",20,2,17.607584207567157,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.9, 'e': 0.0003698224852071006}",20,10,19.40934655125843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
