trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.85265364117708,"{0: 8, 1: 0, 2: 7, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,1,-175.99032388668172,"{0: 16, 1: 0, 2: 9, 3: 3, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-249.95830610527136,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.06642572394756,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,19,-2.079642305843084,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.92908890597772,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.98329269684356,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.68340117647,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.20309796732696,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.2263659693727,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.11880405567648,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,14,-18.389245612600003,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.86953869172302,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-228.167857730065,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.85586632524247,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.8239695965696,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,7,-15.531926910107005,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.88746259835943,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-244.1815302028868,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.36475230342081,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.693128944702956,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,15,-34.12345494044667,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-204.83956526660944,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-202.10175927027632,"{0: 12, 1: 0, 2: 7, 3: 5, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.03545009982218,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.15186322840603,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.14124218826842,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.25232599135208,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-227.19893739444558,"{0: 14, 1: 0, 2: 12, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.73722357035139,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
